datetime,open,high,low,close,volume
2020-01-01 09:15:00+05:30,71.15,71.15,70.65,70.8,8352
2020-01-01 09:45:00+05:30,70.8,71.55,70.8,71.4,9001
2020-01-01 10:15:00+05:30,71.4,71.6,71.0,71.15,3456
2020-01-01 10:45:00+05:30,71.15,71.3,70.95,71.3,2035
2020-01-01 11:15:00+05:30,71.3,71.3,71.15,71.15,435
2020-01-01 11:45:00+05:30,71.15,71.2,71.15,71.2,1082
2020-01-01 12:15:00+05:30,71.2,71.3,71.15,71.2,643
2020-01-01 12:45:00+05:30,71.15,71.3,71.15,71.3,1934
2020-01-01 13:15:00+05:30,71.3,71.5,71.15,71.5,2338
2020-01-01 13:45:00+05:30,71.5,71.65,71.15,71.65,3465
2020-01-01 14:15:00+05:30,71.65,71.65,71.35,71.35,1249
2020-01-01 14:45:00+05:30,71.35,71.9,71.3,71.6,17304
2020-01-01 15:15:00+05:30,71.6,72.0,71.45,71.45,4631
2020-01-02 09:15:00+05:30,71.45,71.95,71.4,71.55,2014
2020-01-02 09:45:00+05:30,71.55,71.55,70.9,71.2,4707
2020-01-02 10:15:00+05:30,71.2,71.3,70.95,71.25,2693
2020-01-02 10:45:00+05:30,71.25,74.9,71.25,74.0,58321
2020-01-02 11:15:00+05:30,74.2,74.5,71.75,71.95,91598
2020-01-02 11:45:00+05:30,71.95,72.0,71.75,72.0,19910
2020-01-02 12:15:00+05:30,72.0,72.9,72.0,72.6,10108
2020-01-02 12:45:00+05:30,72.6,72.85,72.5,72.6,5839
2020-01-02 13:15:00+05:30,72.55,73.1,72.55,72.7,5725
2020-01-02 13:45:00+05:30,72.7,72.85,72.65,72.8,1327
2020-01-02 14:15:00+05:30,72.8,73.2,72.6,72.6,4843
2020-01-02 14:45:00+05:30,72.55,73.5,72.5,73.2,34549
2020-01-02 15:15:00+05:30,73.2,74.0,73.0,73.0,50582
2020-01-03 09:15:00+05:30,73.35,73.35,72.0,72.25,16625
2020-01-03 09:45:00+05:30,72.25,72.3,71.7,71.7,14180
2020-01-03 10:15:00+05:30,71.9,72.45,71.7,72.35,15050
2020-01-03 10:45:00+05:30,72.35,72.35,71.6,71.65,23979
2020-01-03 11:15:00+05:30,71.65,71.8,71.1,71.25,15075
2020-01-03 11:45:00+05:30,71.25,71.8,71.0,71.65,19998
2020-01-03 12:15:00+05:30,71.65,72.5,71.65,72.0,21973
2020-01-03 12:45:00+05:30,72.0,72.15,71.85,71.95,35085
2020-01-03 13:15:00+05:30,71.95,71.95,71.6,71.7,8103
2020-01-03 13:45:00+05:30,71.7,71.7,71.35,71.35,8398
2020-01-03 14:15:00+05:30,71.4,73.25,71.35,72.5,41402
2020-01-03 14:45:00+05:30,72.5,72.75,72.0,72.25,28691
2020-01-03 15:15:00+05:30,72.25,72.3,71.45,71.5,31652
2020-01-06 09:15:00+05:30,72.6,72.6,70.1,70.15,30864
2020-01-06 09:45:00+05:30,70.15,70.5,70.1,70.3,8756
2020-01-06 10:15:00+05:30,70.5,70.8,70.15,70.8,5860
2020-01-06 10:45:00+05:30,70.8,70.95,70.55,70.65,8538
2020-01-06 11:15:00+05:30,70.65,71.45,70.25,71.15,23903
2020-01-06 11:45:00+05:30,71.15,71.35,71.15,71.15,3731
2020-01-06 12:15:00+05:30,71.2,71.5,70.75,71.3,20638
2020-01-06 12:45:00+05:30,71.3,71.4,71.15,71.35,9365
2020-01-06 13:15:00+05:30,71.35,71.45,71.0,71.2,60500
2020-01-06 13:45:00+05:30,71.2,71.35,71.15,71.15,6493
2020-01-06 14:15:00+05:30,71.15,71.2,71.15,71.15,8515
2020-01-06 14:45:00+05:30,71.15,71.4,71.15,71.15,6073
2020-01-06 15:15:00+05:30,71.15,71.5,71.15,71.15,9461
2020-01-07 09:15:00+05:30,70.5,73.0,70.5,72.65,25226
2020-01-07 09:45:00+05:30,72.65,73.5,71.8,72.1,66569
2020-01-07 10:15:00+05:30,72.1,72.4,71.65,72.05,66200
2020-01-07 10:45:00+05:30,72.0,72.3,71.5,71.5,173156
2020-01-07 11:15:00+05:30,71.5,71.6,70.85,71.0,10800
2020-01-07 11:45:00+05:30,71.0,71.15,70.7,70.85,5628
2020-01-07 12:15:00+05:30,70.85,70.85,70.2,70.4,9817
2020-01-07 12:45:00+05:30,70.35,70.55,70.1,70.1,9141
2020-01-07 13:15:00+05:30,70.1,70.75,70.1,70.7,20354
2020-01-07 13:45:00+05:30,70.7,71.0,70.45,70.55,19543
2020-01-07 14:15:00+05:30,70.55,71.5,70.25,71.25,18944
2020-01-07 14:45:00+05:30,71.25,71.25,70.5,70.8,14077
2020-01-07 15:15:00+05:30,70.8,72.0,70.5,70.55,33562
2020-01-08 09:15:00+05:30,70.9,71.2,70.1,70.65,29173
2020-01-08 09:45:00+05:30,70.65,71.2,70.65,70.85,7513
2020-01-08 10:15:00+05:30,70.85,71.6,70.75,71.15,14947
2020-01-08 10:45:00+05:30,71.15,71.15,70.85,71.0,6530
2020-01-08 11:15:00+05:30,71.0,71.0,70.5,70.5,8088
2020-01-08 11:45:00+05:30,70.5,70.7,70.5,70.55,2298
2020-01-08 12:15:00+05:30,70.55,71.15,70.5,71.0,2845
2020-01-08 12:45:00+05:30,70.95,70.95,70.6,70.6,1646
2020-01-08 13:15:00+05:30,70.6,70.75,70.6,70.75,630
2020-01-08 13:45:00+05:30,70.75,71.1,70.6,71.0,4460
2020-01-08 14:15:00+05:30,71.0,71.05,70.0,70.7,54373
2020-01-08 14:45:00+05:30,70.7,70.7,70.1,70.6,16206
2020-01-08 15:15:00+05:30,70.6,70.6,70.0,70.0,25113
2020-01-09 09:15:00+05:30,70.15,71.4,70.15,70.7,14100
2020-01-09 09:45:00+05:30,70.75,71.7,70.75,71.1,8915
2020-01-09 10:15:00+05:30,71.1,71.2,71.0,71.1,14301
2020-01-09 10:45:00+05:30,71.15,71.15,70.65,70.7,6118
2020-01-09 11:15:00+05:30,70.7,71.5,70.6,71.15,17667
2020-01-09 11:45:00+05:30,71.15,71.2,71.0,71.2,4519
2020-01-09 12:15:00+05:30,71.15,72.0,71.15,71.7,24836
2020-01-09 12:45:00+05:30,71.6,71.6,71.25,71.25,2663
2020-01-09 13:15:00+05:30,71.25,71.3,71.0,71.0,3200
2020-01-09 13:45:00+05:30,71.0,71.25,71.0,71.1,2566
2020-01-09 14:15:00+05:30,71.1,71.2,70.7,70.8,8172
2020-01-09 14:45:00+05:30,70.8,70.85,70.55,70.6,24190
2020-01-09 15:15:00+05:30,70.6,71.5,70.45,70.7,46925
2020-01-10 09:15:00+05:30,71.8,71.8,71.0,71.25,11420
2020-01-10 09:45:00+05:30,71.25,71.55,71.25,71.45,3262
2020-01-10 10:15:00+05:30,71.45,71.55,71.3,71.3,5950
2020-01-10 10:45:00+05:30,71.3,71.35,71.2,71.3,2979
2020-01-10 11:15:00+05:30,71.3,71.5,71.0,71.35,10681
2020-01-10 11:45:00+05:30,71.45,71.5,71.1,71.3,8246
2020-01-10 12:15:00+05:30,71.5,71.55,71.35,71.5,3827
2020-01-10 12:45:00+05:30,71.5,71.7,71.0,71.0,45845
2020-01-10 13:15:00+05:30,71.0,71.3,70.75,70.75,11649
2020-01-10 13:45:00+05:30,70.75,70.75,70.3,70.35,17434
2020-01-10 14:15:00+05:30,70.35,70.8,70.3,70.65,7129
2020-01-10 14:45:00+05:30,70.65,71.0,70.3,70.9,15486
2020-01-10 15:15:00+05:30,70.9,71.1,70.55,71.0,10742
2020-01-13 09:15:00+05:30,71.1,73.0,71.1,72.5,67956
2020-01-13 09:45:00+05:30,72.5,73.8,72.4,72.95,134834
2020-01-13 10:15:00+05:30,72.95,73.8,72.9,73.1,53011
2020-01-13 10:45:00+05:30,73.1,73.7,72.85,73.1,68008
2020-01-13 11:15:00+05:30,73.1,73.2,72.6,72.95,21883
2020-01-13 11:45:00+05:30,72.95,73.1,72.1,72.6,71247
2020-01-13 12:15:00+05:30,72.6,73.0,72.25,73.0,32082
2020-01-13 12:45:00+05:30,73.0,73.05,72.75,72.9,4785
2020-01-13 13:15:00+05:30,72.9,73.45,72.75,73.25,59052
2020-01-13 13:45:00+05:30,73.25,73.25,72.7,73.0,47347
2020-01-13 14:15:00+05:30,73.0,73.15,72.5,72.85,43840
2020-01-13 14:45:00+05:30,72.85,73.2,72.15,72.95,54020
2020-01-13 15:15:00+05:30,72.95,73.0,72.15,72.4,70020
2020-01-14 09:15:00+05:30,73.0,73.5,72.6,73.2,29238
2020-01-14 09:45:00+05:30,73.2,73.2,72.75,72.85,15820
2020-01-14 10:15:00+05:30,72.85,73.0,72.25,72.75,20635
2020-01-14 10:45:00+05:30,72.75,72.75,72.3,72.3,5974
2020-01-14 11:15:00+05:30,72.3,72.85,72.2,72.75,7947
2020-01-14 11:45:00+05:30,72.75,73.15,72.6,73.15,5451
2020-01-14 12:15:00+05:30,73.15,73.2,72.9,73.0,13444
2020-01-14 12:45:00+05:30,73.0,73.0,72.8,72.8,3478
2020-01-14 13:15:00+05:30,72.8,72.95,72.7,72.8,3214
2020-01-14 13:45:00+05:30,72.8,72.95,72.55,72.55,5424
2020-01-14 14:15:00+05:30,72.55,73.4,72.55,73.35,21097
2020-01-14 14:45:00+05:30,73.35,73.5,73.05,73.45,27987
2020-01-14 15:15:00+05:30,73.45,73.45,72.5,73.0,40826
2020-01-15 09:15:00+05:30,73.0,75.2,73.0,74.5,267650
2020-01-15 09:45:00+05:30,74.5,75.1,73.1,73.95,121728
2020-01-15 10:15:00+05:30,73.95,74.0,73.2,73.5,40011
2020-01-15 10:45:00+05:30,73.5,73.65,73.0,73.3,50550
2020-01-15 11:15:00+05:30,73.3,73.35,72.9,72.9,16219
2020-01-15 11:45:00+05:30,72.9,74.1,72.9,73.45,41127
2020-01-15 12:15:00+05:30,73.45,74.1,73.3,74.0,48152
2020-01-15 12:45:00+05:30,74.0,74.0,73.7,73.75,19126
2020-01-15 13:15:00+05:30,73.75,73.85,73.45,73.45,6344
2020-01-15 13:45:00+05:30,73.45,73.5,73.3,73.3,18498
2020-01-15 14:15:00+05:30,73.3,73.45,73.05,73.15,19427
2020-01-15 14:45:00+05:30,73.15,73.2,72.85,73.15,58685
2020-01-15 15:15:00+05:30,73.15,73.5,72.5,72.6,35750
2020-01-16 09:15:00+05:30,72.8,73.65,72.7,73.15,51720
2020-01-16 09:45:00+05:30,73.15,73.2,72.6,72.75,8900
2020-01-16 10:15:00+05:30,72.75,72.9,72.3,72.6,16749
2020-01-16 10:45:00+05:30,72.7,73.9,72.6,73.25,67588
2020-01-16 11:15:00+05:30,73.25,73.3,73.05,73.2,10873
2020-01-16 11:45:00+05:30,73.2,73.2,72.6,72.75,25699
2020-01-16 12:15:00+05:30,72.75,72.8,71.75,72.0,169389
2020-01-16 12:45:00+05:30,72.0,72.05,71.95,72.0,42434
2020-01-16 13:15:00+05:30,72.0,72.05,71.95,71.95,14392
2020-01-16 13:45:00+05:30,71.95,72.0,71.9,72.0,29855
2020-01-16 14:15:00+05:30,72.0,72.0,71.0,71.55,46694
2020-01-16 14:45:00+05:30,71.55,71.9,71.3,71.65,42165
2020-01-16 15:15:00+05:30,71.6,72.1,71.4,72.0,533075
2020-01-17 09:15:00+05:30,72.1,73.5,72.1,72.6,25978
2020-01-17 09:45:00+05:30,72.6,73.0,72.6,72.9,22876
2020-01-17 10:15:00+05:30,72.9,73.0,72.6,72.75,10627
2020-01-17 10:45:00+05:30,72.75,73.0,72.5,72.75,28462
