datetime,open,high,low,close,volume
5/3/2023 9:15,277.75,277.8,275.3,277,164866
5/3/2023 9:45,277,278.9,276.7,278.55,98667
5/3/2023 10:15,278.65,279.3,277.15,278.35,103878
5/3/2023 10:45,278.35,279.45,277.1,277.3,64930
5/3/2023 11:15,277,277.6,275.6,276.1,98863
5/3/2023 11:45,276.2,276.4,275.5,275.7,49518
5/3/2023 12:15,275.7,276.15,275.05,275.1,49384
5/3/2023 12:45,275.3,275.3,274.2,274.35,68812
5/3/2023 13:15,274.25,274.8,274,274.35,52420
5/3/2023 13:45,274.25,274.65,273.55,274,52357
5/3/2023 14:15,273.95,274.9,273.65,274.5,44398
5/3/2023 14:45,274.5,275.85,274.45,275.5,96174
5/3/2023 15:15,275.5,276.2,275.05,275.85,90056
5/4/2023 9:15,275.55,278.1,275.05,277.05,147890
5/4/2023 9:45,277.2,277.5,276.7,276.85,48879
5/4/2023 10:15,276.85,279.45,276.6,278.7,148253
5/4/2023 10:45,278.7,283.9,278.7,282.05,507444
5/4/2023 11:15,282.25,283.45,281.6,282.9,173370
5/4/2023 11:45,282.9,283.5,282.15,283.3,137724
5/4/2023 12:15,283.3,285.5,283.15,285.3,369699
5/4/2023 12:45,285.25,286.3,285.15,285.8,282820
5/4/2023 13:15,285.8,286.25,285.4,286,172123
5/4/2023 13:45,285.95,287.4,285.7,286.75,300594
5/4/2023 14:15,286.75,287,285.65,286,277398
5/4/2023 14:45,286.05,288.2,286,286.6,359201
5/4/2023 15:15,286.5,287.2,286.1,287,156887
5/5/2023 9:15,288.65,288.65,282.25,283.85,368841
5/5/2023 9:45,283.8,284.35,283.1,284.15,85074
5/5/2023 10:15,284.3,284.45,282.8,283.25,88308
5/5/2023 10:45,283.15,283.3,281.5,282,118252
5/5/2023 11:15,281.5,284.4,280.6,283.3,255861
5/5/2023 11:45,283.2,283.3,281.75,282.55,74983
5/5/2023 12:15,282.55,282.55,281.4,282.15,74612
5/5/2023 12:45,282.15,282.9,281.75,282.15,52634
5/5/2023 13:15,282.15,282.15,281.2,281.55,55891
5/5/2023 13:45,281.55,281.65,280.55,281.6,71554
5/5/2023 14:15,281.45,282.75,281.25,282.1,96443
5/5/2023 14:45,282.05,283.65,281.55,281.55,172054
5/5/2023 15:15,281.55,282.4,281,282.3,117115
5/8/2023 9:15,283.7,284.5,281.25,282.1,245142
5/8/2023 9:45,282.3,282.4,280.6,281.8,305258
5/8/2023 10:15,282,283.2,280.65,281.7,195278
5/8/2023 10:45,281.95,281.95,281,281.45,111242
5/8/2023 11:15,281.4,287,281.3,285.5,382786
5/8/2023 11:45,285.5,287.7,285.05,287.2,169162
5/8/2023 12:15,287.6,288,286.15,287.35,97126
5/8/2023 12:45,287.2,287.95,286.6,287,107879
5/8/2023 13:15,286.95,287.7,286.15,286.25,67968
5/8/2023 13:45,286.25,288.9,286.05,288.7,178260
5/8/2023 14:15,288.7,288.7,284.95,286.75,220556
5/8/2023 14:45,286.5,288.1,286,288.05,149137
5/8/2023 15:15,288.05,288.4,287.4,288.05,146250
5/9/2023 9:15,293.35,301.8,292.45,295.7,3258084
5/9/2023 9:45,295.7,299,295.7,297.75,884670
5/9/2023 10:15,297.75,303.9,297.7,303.5,1620259
5/9/2023 10:45,303.55,309.5,303.05,307.55,3156019
5/9/2023 11:15,307.6,311.4,307.5,311.15,1819505
5/9/2023 11:45,311.35,312,310.05,310.95,1237849
