Unnamed: 0,datetime,open,high,low,close
0,2024-01-23 09:15:00,484.9,485.5,482.3,482.75
1,2024-01-23 09:18:00,482.55,483.9,482.1,483.9
2,2024-01-23 09:21:00,483.8,484.0,481.75,483.4
3,2024-01-23 09:24:00,483.5,484.65,482.75,483.75
4,2024-01-23 09:27:00,483.7,483.95,482.5,483.7
5,2024-01-23 09:30:00,483.9,484.6,483.4,483.7
6,2024-01-23 09:33:00,483.8,484.45,482.2,482.2
7,2024-01-23 09:36:00,482.25,484.05,482.25,482.75
8,2024-01-23 09:39:00,482.8,483.85,481.85,483.6
9,2024-01-23 09:42:00,483.35,484.0,482.3,484.0
10,2024-01-23 09:45:00,484.1,484.6,483.25,483.25
11,2024-01-23 09:48:00,483.4,483.7,482.3,482.35
12,2024-01-23 09:51:00,482.5,483.1,481.35,482.45
13,2024-01-23 09:54:00,482.4,482.45,481.55,481.65
14,2024-01-23 09:57:00,481.9,483.05,481.05,481.55
15,2024-01-23 10:00:00,481.7,481.9,479.5,479.9
16,2024-01-23 10:03:00,480.2,480.65,479.7,480.2
17,2024-01-23 10:06:00,480.45,480.75,478.2,479.9
18,2024-01-23 10:09:00,479.5,479.95,478.9,479.35
19,2024-01-23 10:12:00,479.6,481.55,479.4,480.75
20,2024-01-23 10:15:00,481.0,481.6,480.35,481.3
21,2024-01-23 10:18:00,481.1,481.1,479.85,480.25
22,2024-01-23 10:21:00,480.05,480.05,478.25,478.6
23,2024-01-23 10:24:00,478.45,479.55,478.4,479.2
24,2024-01-23 10:27:00,479.3,479.6,478.25,479.3
25,2024-01-23 10:30:00,479.55,481.5,478.85,481.5
26,2024-01-23 10:33:00,481.55,481.6,480.75,481.5
27,2024-01-23 10:36:00,481.2,481.75,479.25,479.85
28,2024-01-23 10:39:00,480.0,480.35,478.0,478.75
29,2024-01-23 10:42:00,478.45,479.3,478.05,479.05
30,2024-01-23 10:45:00,478.8,480.4,478.55,478.75
31,2024-01-23 10:48:00,478.45,479.6,478.45,479.45
32,2024-01-23 10:51:00,479.4,480.0,478.6,479.2
33,2024-01-23 10:54:00,478.9,480.0,478.85,479.45
34,2024-01-23 10:57:00,479.4,480.9,479.4,480.7
35,2024-01-23 11:00:00,480.1,480.7,478.5,479.25
36,2024-01-23 11:03:00,478.9,479.95,478.7,479.45
37,2024-01-23 11:06:00,479.15,479.9,479.0,479.9
38,2024-01-23 11:09:00,479.75,480.2,478.9,479.85
39,2024-01-23 11:12:00,479.25,480.75,479.25,479.9
40,2024-01-23 11:15:00,479.65,479.95,479.1,479.9
41,2024-01-23 11:18:00,479.65,480.05,478.95,479.45
42,2024-01-23 11:21:00,479.15,479.8,478.5,479.0
43,2024-01-23 11:24:00,478.9,479.7,478.8,479.7
44,2024-01-23 11:27:00,479.35,479.95,479.25,479.7
45,2024-01-23 11:30:00,479.5,479.8,479.0,479.8
46,2024-01-23 11:33:00,479.65,480.75,478.75,479.7
47,2024-01-23 11:36:00,479.25,479.85,478.9,479.15
48,2024-01-23 11:39:00,479.0,479.55,477.95,478.15
49,2024-01-23 11:42:00,477.8,478.0,477.25,477.65
50,2024-01-23 11:45:00,477.95,477.95,477.25,477.7
51,2024-01-23 11:48:00,477.45,478.0,476.5,477.6
52,2024-01-23 11:51:00,477.75,477.75,476.55,476.65
53,2024-01-23 11:54:00,476.7,476.9,475.3,476.6
54,2024-01-23 11:57:00,476.75,477.05,475.8,476.2
55,2024-01-23 12:00:00,476.15,476.5,475.5,476.1
56,2024-01-23 12:03:00,476.05,476.25,474.45,475.8
57,2024-01-23 12:06:00,475.65,475.8,474.0,475.05
58,2024-01-23 12:09:00,475.4,475.6,474.3,475.1
59,2024-01-23 12:12:00,475.0,475.55,474.5,475.05
60,2024-01-23 12:15:00,474.7,476.6,474.5,475.5
61,2024-01-23 12:18:00,475.45,475.95,474.25,475.7
62,2024-01-23 12:21:00,475.45,475.5,473.15,473.75
63,2024-01-23 12:24:00,473.95,474.0,473.1,473.5
64,2024-01-23 12:27:00,473.35,474.0,473.05,473.6
65,2024-01-23 12:30:00,473.35,474.15,472.9,473.5
66,2024-01-23 12:33:00,473.35,474.65,473.15,473.9
67,2024-01-23 12:36:00,473.7,474.05,472.25,473.45
68,2024-01-23 12:39:00,473.1,473.45,471.95,472.2
69,2024-01-23 12:42:00,472.35,473.75,471.8,473.65
70,2024-01-23 12:45:00,473.45,473.65,472.45,472.95
71,2024-01-23 12:48:00,472.7,474.1,472.6,473.8
72,2024-01-23 12:51:00,473.65,474.0,473.1,473.5
73,2024-01-23 12:54:00,473.3,474.0,473.3,473.65
74,2024-01-23 12:57:00,473.5,473.65,472.65,473.4
75,2024-01-23 13:00:00,473.35,473.45,472.15,473.05
76,2024-01-23 13:03:00,473.1,473.15,472.55,472.95
77,2024-01-23 13:06:00,473.0,473.1,472.1,472.65
78,2024-01-23 13:09:00,472.35,472.65,471.35,472.3
79,2024-01-23 13:12:00,472.15,473.1,471.95,472.95
80,2024-01-23 13:15:00,472.8,473.05,472.35,473.05
81,2024-01-23 13:18:00,473.15,473.15,472.1,472.2
82,2024-01-23 13:21:00,472.0,472.75,471.65,472.05
83,2024-01-23 13:24:00,471.9,472.15,471.0,471.1
84,2024-01-23 13:27:00,470.9,472.9,470.8,472.7
85,2024-01-23 13:30:00,472.6,473.05,471.65,472.2
86,2024-01-23 13:33:00,472.15,472.8,472.05,472.5
87,2024-01-23 13:36:00,472.4,472.7,471.7,472.7
88,2024-01-23 13:39:00,472.55,472.85,472.2,472.75
89,2024-01-23 13:42:00,472.65,472.75,470.8,470.95
90,2024-01-23 13:45:00,470.9,471.0,470.7,470.9
91,2024-01-23 13:48:00,470.85,471.0,470.2,470.25
92,2024-01-23 13:51:00,470.05,470.25,469.5,470.0
93,2024-01-23 13:54:00,469.95,470.0,469.1,469.3
94,2024-01-23 13:57:00,469.2,469.65,468.3,469.55
95,2024-01-23 14:00:00,469.45,470.35,468.6,470.35
96,2024-01-23 14:03:00,470.0,471.1,470.0,470.95
97,2024-01-23 14:06:00,470.8,471.55,470.2,470.85
98,2024-01-23 14:09:00,470.95,471.65,470.85,471.45
99,2024-01-23 14:12:00,471.6,471.6,470.7,470.9
100,2024-01-23 14:15:00,470.85,471.15,469.45,470.3
101,2024-01-23 14:18:00,470.4,470.9,469.8,470.4
102,2024-01-23 14:21:00,470.3,470.3,468.9,469.8
103,2024-01-23 14:24:00,469.75,469.75,467.1,467.1
104,2024-01-23 14:27:00,467.35,468.35,467.0,468.35
105,2024-01-23 14:30:00,468.25,469.95,468.2,469.85
106,2024-01-23 14:33:00,470.0,470.05,468.35,468.55
107,2024-01-23 14:36:00,468.4,468.65,467.25,467.95
108,2024-01-23 14:39:00,467.8,469.05,466.85,468.4
109,2024-01-23 14:42:00,468.5,468.85,466.9,467.4
110,2024-01-23 14:45:00,467.7,469.3,467.1,468.6
111,2024-01-23 14:48:00,468.9,471.55,468.6,470.85
112,2024-01-23 14:51:00,471.35,471.45,470.2,470.85
113,2024-01-23 14:54:00,470.7,470.7,469.6,470.2
114,2024-01-23 14:57:00,469.85,470.1,468.9,469.8
115,2024-01-23 15:00:00,469.85,470.35,468.75,468.75
116,2024-01-23 15:03:00,469.2,469.8,468.5,469.05
117,2024-01-23 15:06:00,469.1,471.2,468.3,471.2
118,2024-01-23 15:09:00,471.15,472.4,470.95,471.8
119,2024-01-23 15:12:00,471.95,472.55,470.75,472.55
120,2024-01-23 15:15:00,472.45,474.3,471.0,472.25
121,2024-01-23 15:18:00,472.1,472.6,470.65,471.1
122,2024-01-23 15:21:00,471.15,471.75,470.8,471.0
123,2024-01-23 15:24:00,470.95,473.9,470.95,473.8
124,2024-01-23 15:27:00,473.85,475.0,469.7,471.0
125,2024-01-24 09:15:00,472.5,473.0,467.9,471.2
126,2024-01-24 09:18:00,470.6,471.7,467.45,470.6
127,2024-01-24 09:21:00,470.85,473.75,470.6,473.35
128,2024-01-24 09:24:00,473.45,473.45,470.8,471.45
129,2024-01-24 09:27:00,471.85,473.2,471.1,473.0
130,2024-01-24 09:30:00,473.25,475.4,472.35,475.0
131,2024-01-24 09:33:00,475.1,475.4,472.35,473.15
132,2024-01-24 09:36:00,473.5,473.85,472.3,472.45
133,2024-01-24 09:39:00,472.65,472.65,471.2,471.4
134,2024-01-24 09:42:00,471.35,472.0,471.0,471.9
135,2024-01-24 09:45:00,471.8,472.9,471.75,472.35
136,2024-01-24 09:48:00,472.5,472.75,472.0,472.2
137,2024-01-24 09:51:00,472.05,473.25,472.0,473.25
138,2024-01-24 09:54:00,473.05,473.85,472.85,473.15
139,2024-01-24 09:57:00,473.35,473.7,472.85,473.0
140,2024-01-24 10:00:00,473.15,473.85,472.5,472.8
141,2024-01-24 10:03:00,472.75,473.9,471.45,473.9
142,2024-01-24 10:06:00,473.7,474.8,473.35,474.2
143,2024-01-24 10:09:00,474.45,474.45,472.75,473.0
144,2024-01-24 10:12:00,473.25,473.75,472.75,473.0
145,2024-01-24 10:15:00,472.8,473.5,472.8,473.5
146,2024-01-24 10:18:00,473.3,473.5,473.0,473.5
147,2024-01-24 10:21:00,473.3,474.5,473.15,474.0
148,2024-01-24 10:24:00,474.35,474.35,472.3,472.85
149,2024-01-24 10:27:00,472.6,473.5,471.65,472.0
150,2024-01-24 10:30:00,471.85,472.7,471.85,472.25
151,2024-01-24 10:33:00,472.35,472.55,471.55,471.95
152,2024-01-24 10:36:00,471.65,474.2,471.6,474.2
153,2024-01-24 10:39:00,474.0,474.85,473.55,474.6
154,2024-01-24 10:42:00,474.35,475.35,474.0,474.1
155,2024-01-24 10:45:00,474.0,474.4,472.75,472.75
156,2024-01-24 10:48:00,472.8,473.6,472.5,473.1
157,2024-01-24 10:51:00,473.05,473.3,472.55,473.3
158,2024-01-24 10:54:00,473.2,473.7,472.65,473.15
159,2024-01-24 10:57:00,472.8,473.25,472.0,472.0
160,2024-01-24 11:00:00,472.1,472.65,471.8,472.45
161,2024-01-24 11:03:00,472.65,472.7,471.9,472.05
162,2024-01-24 11:06:00,472.3,472.95,471.55,471.55
163,2024-01-24 11:09:00,471.9,471.9,471.0,471.15
164,2024-01-24 11:12:00,471.25,471.55,470.25,471.15
