Unnamed: 0,datetime,open,high,low,close
0,2024-01-29 09:15:00,579.75,599.05,578.0,595.25
1,2024-01-29 09:30:00,595.0,602.5,594.35,601.65
2,2024-01-29 09:45:00,601.05,608.65,601.0,604.4
3,2024-01-29 10:00:00,604.3,605.6,601.6,604.5
4,2024-01-29 10:15:00,604.9,608.7,599.45,600.6
5,2024-01-29 10:30:00,600.3,602.0,599.5,600.2
6,2024-01-29 10:45:00,600.0,602.35,597.05,599.15
7,2024-01-29 11:00:00,599.05,599.95,597.4,598.65
8,2024-01-29 11:15:00,598.7,599.0,596.15,598.85
9,2024-01-29 11:30:00,598.9,600.4,598.05,599.95
10,2024-01-29 11:45:00,599.8,600.6,598.85,600.0
11,2024-01-29 12:00:00,600.15,603.0,599.65,602.65
12,2024-01-29 12:15:00,602.75,603.7,598.65,598.7
13,2024-01-29 12:30:00,599.0,600.45,598.25,598.5
14,2024-01-29 12:45:00,598.4,600.0,598.4,598.5
15,2024-01-29 13:00:00,598.75,598.8,594.65,595.5
16,2024-01-29 13:15:00,595.7,596.15,595.0,596.0
17,2024-01-29 13:30:00,595.95,596.35,595.0,596.0
18,2024-01-29 13:45:00,596.25,598.2,596.15,597.85
19,2024-01-29 14:00:00,597.7,598.95,597.0,597.2
20,2024-01-29 14:15:00,597.25,598.15,596.4,596.85
21,2024-01-29 14:30:00,596.9,597.8,596.2,597.0
22,2024-01-29 14:45:00,597.1,598.8,596.35,597.6
23,2024-01-29 15:00:00,597.45,600.25,597.45,600.0
24,2024-01-29 15:15:00,599.9,605.0,599.4,605.0
25,2024-01-30 09:15:00,605.05,617.45,605.05,609.0
26,2024-01-30 09:30:00,608.7,610.15,604.25,607.9
27,2024-01-30 09:45:00,607.65,614.3,606.5,614.3
28,2024-01-30 10:00:00,613.9,616.7,613.55,615.0
29,2024-01-30 10:15:00,615.15,618.55,614.95,616.2
30,2024-01-30 10:30:00,616.4,617.75,614.5,615.0
31,2024-01-30 10:45:00,615.1,619.55,615.0,617.4
32,2024-01-30 11:00:00,617.45,625.0,617.3,623.5
33,2024-01-30 11:15:00,623.45,624.0,620.1,621.9
34,2024-01-30 11:30:00,621.6,626.2,620.8,625.3
