datetime,symbol,open,high,low,close,volume
2023-05-03 09:15:00,NSE:ONGC,162.75,163.35,162.25,162.45,1410247.0
2023-05-03 09:45:00,NSE:ONGC,162.4,162.45,161.7,162.2,889906.0
2023-05-03 10:15:00,NSE:ONGC,162.15,162.55,162.0,162.2,582760.0
2023-05-03 10:45:00,NSE:ONGC,162.25,162.4,162.0,162.15,327539.0
2023-05-03 11:15:00,NSE:ONGC,162.15,162.2,161.5,161.6,574012.0
2023-05-03 11:45:00,NSE:ONGC,161.55,161.7,161.2,161.55,447959.0
2023-05-03 12:15:00,NSE:ONGC,161.7,162.15,161.65,162.0,432567.0
2023-05-03 12:45:00,NSE:ONGC,162.0,162.6,161.95,162.5,454741.0
2023-05-03 13:15:00,NSE:ONGC,162.4,162.85,162.05,162.15,429565.0
2023-05-03 13:45:00,NSE:ONGC,162.2,162.35,161.8,162.0,425375.0
2023-05-03 14:15:00,NSE:ONGC,162.0,162.05,161.55,161.6,549337.0
2023-05-03 14:45:00,NSE:ONGC,161.6,161.75,161.0,161.45,788717.0
2023-05-03 15:15:00,NSE:ONGC,161.5,161.5,160.85,161.05,658535.0
2023-05-04 09:15:00,NSE:ONGC,160.7,160.95,159.3,160.3,1825949.0
2023-05-04 09:45:00,NSE:ONGC,160.3,160.8,160.2,160.75,495630.0
2023-05-04 10:15:00,NSE:ONGC,160.7,160.75,160.15,160.2,484896.0
2023-05-04 10:45:00,NSE:ONGC,160.2,160.25,160.0,160.25,301899.0
2023-05-04 11:15:00,NSE:ONGC,160.15,160.25,159.65,159.9,403749.0
2023-05-04 11:45:00,NSE:ONGC,159.9,159.9,159.2,159.8,939131.0
2023-05-04 12:15:00,NSE:ONGC,159.8,159.95,159.55,159.65,554014.0
2023-05-04 12:45:00,NSE:ONGC,159.6,160.05,159.5,160.05,600050.0
2023-05-04 13:15:00,NSE:ONGC,160.05,160.25,159.95,160.25,373453.0
2023-05-04 13:45:00,NSE:ONGC,160.2,160.9,160.2,160.5,1006481.0
2023-05-04 14:15:00,NSE:ONGC,160.5,161.2,160.5,160.95,1361359.0
2023-05-04 14:45:00,NSE:ONGC,161.0,161.2,160.9,161.05,831535.0
2023-05-04 15:15:00,NSE:ONGC,161.05,161.05,160.65,160.8,730589.0
