datetime,symbol,open,high,low,close,volume
2023-05-03 09:15:00,NSE:PETRONET,237.3,241.45,236.9,241.35,780642.0
2023-05-03 09:45:00,NSE:PETRONET,241.2,242.4,238.5,238.55,596103.0
2023-05-03 10:15:00,NSE:PETRONET,238.55,239.25,238.2,238.35,202577.0
2023-05-03 10:45:00,NSE:PETRONET,238.4,238.5,237.7,238.1,164018.0
2023-05-03 11:15:00,NSE:PETRONET,238.15,238.45,237.6,237.65,69605.0
2023-05-03 11:45:00,NSE:PETRONET,237.65,237.95,237.1,237.7,90149.0
2023-05-03 12:15:00,NSE:PETRONET,237.6,238.5,237.6,237.65,81037.0
2023-05-03 12:45:00,NSE:PETRONET,237.65,237.8,237.2,237.35,48163.0
2023-05-03 13:15:00,NSE:PETRONET,237.35,237.85,235.45,235.7,180238.0
2023-05-03 13:45:00,NSE:PETRONET,235.6,237.55,235.6,237.1,190365.0
2023-05-03 14:15:00,NSE:PETRONET,236.85,237.45,236.15,236.3,242522.0
2023-05-03 14:45:00,NSE:PETRONET,236.3,237.05,236.15,236.95,341819.0
2023-05-03 15:15:00,NSE:PETRONET,236.8,237.3,236.2,236.5,456269.0
2023-05-04 09:15:00,NSE:PETRONET,230.65,230.65,224.2,227.0,1820403.0
2023-05-04 09:45:00,NSE:PETRONET,226.95,229.25,226.1,226.85,1132248.0
2023-05-04 10:15:00,NSE:PETRONET,226.85,227.0,226.0,226.25,311810.0
2023-05-04 10:45:00,NSE:PETRONET,226.25,226.8,225.0,225.3,478781.0
2023-05-04 11:15:00,NSE:PETRONET,225.2,225.85,224.7,225.6,379436.0
2023-05-04 11:45:00,NSE:PETRONET,225.6,226.4,225.6,226.4,201286.0
2023-05-04 12:15:00,NSE:PETRONET,226.3,226.45,225.75,226.1,255230.0
2023-05-04 12:45:00,NSE:PETRONET,226.1,226.3,225.0,225.15,289837.0
2023-05-04 13:15:00,NSE:PETRONET,225.25,225.8,225.2,225.6,207350.0
2023-05-04 13:45:00,NSE:PETRONET,225.6,227.0,225.5,226.0,529491.0
2023-05-04 14:15:00,NSE:PETRONET,226.0,226.6,225.6,226.45,306701.0
2023-05-04 14:45:00,NSE:PETRONET,226.45,226.9,226.3,226.85,393530.0
2023-05-04 15:15:00,NSE:PETRONET,226.9,227.0,226.6,226.9,368879.0
2023-05-05 09:15:00,NSE:PETRONET,226.0,227.45,225.2,226.3,849706.0
2023-05-05 09:45:00,NSE:PETRONET,226.3,227.8,226.05,226.5,644875.0
2023-05-05 10:15:00,NSE:PETRONET,226.5,226.5,225.8,226.0,146765.0
2023-05-05 10:45:00,NSE:PETRONET,226.05,226.8,225.8,226.8,165861.0
2023-05-05 11:15:00,NSE:PETRONET,226.75,226.75,225.8,226.35,83064.0
2023-05-05 11:45:00,NSE:PETRONET,226.25,226.95,225.95,226.8,218210.0
2023-05-05 12:15:00,NSE:PETRONET,226.8,227.0,226.3,226.85,157776.0
2023-05-05 12:45:00,NSE:PETRONET,226.85,227.0,226.5,227.0,1313584.0
2023-05-05 13:15:00,NSE:PETRONET,227.0,227.0,226.5,227.0,272099.0
2023-05-05 13:45:00,NSE:PETRONET,227.0,227.0,226.5,226.95,243242.0
2023-05-05 14:15:00,NSE:PETRONET,226.95,227.0,226.1,226.3,159798.0
2023-05-05 14:45:00,NSE:PETRONET,226.35,226.6,225.95,226.25,233191.0
2023-05-05 15:15:00,NSE:PETRONET,226.2,226.45,225.15,226.1,213526.0
2023-05-08 09:15:00,NSE:PETRONET,225.7,225.85,221.6,223.4,841415.0
2023-05-08 09:45:00,NSE:PETRONET,223.35,223.5,222.2,222.85,170507.0
2023-05-08 10:15:00,NSE:PETRONET,222.85,223.4,222.85,223.2,138044.0
2023-05-08 10:45:00,NSE:PETRONET,223.2,223.9,222.9,223.0,141465.0
2023-05-08 11:15:00,NSE:PETRONET,223.05,223.45,222.75,222.9,169198.0
2023-05-08 11:45:00,NSE:PETRONET,222.95,223.25,222.5,223.15,234174.0
2023-05-08 12:15:00,NSE:PETRONET,223.15,223.4,222.8,222.95,96161.0
2023-05-08 12:45:00,NSE:PETRONET,222.95,223.1,222.55,222.8,96238.0
2023-05-08 13:15:00,NSE:PETRONET,222.8,223.1,222.6,223.1,90628.0
2023-05-08 13:45:00,NSE:PETRONET,223.05,223.95,223.05,223.75,211164.0
2023-05-08 14:15:00,NSE:PETRONET,223.75,223.75,223.0,223.2,125578.0
2023-05-08 14:45:00,NSE:PETRONET,223.2,224.15,223.05,223.85,375145.0
2023-05-08 15:15:00,NSE:PETRONET,223.8,224.4,223.4,224.3,331443.0
2023-05-09 09:15:00,NSE:PETRONET,224.8,225.8,223.95,224.7,368223.0
2023-05-09 09:45:00,NSE:PETRONET,224.7,225.75,224.5,225.45,286019.0
2023-05-09 10:15:00,NSE:PETRONET,225.3,225.45,224.05,224.2,161100.0
2023-05-09 10:45:00,NSE:PETRONET,224.05,224.45,223.55,224.0,167406.0
2023-05-09 11:15:00,NSE:PETRONET,224.0,224.25,223.75,224.0,148621.0
2023-05-09 11:45:00,NSE:PETRONET,224.1,224.5,223.85,224.2,134432.0
2023-05-09 12:15:00,NSE:PETRONET,224.2,225.5,224.2,225.35,224266.0
2023-05-09 12:45:00,NSE:PETRONET,225.5,225.85,225.1,225.5,171222.0
2023-05-09 13:15:00,NSE:PETRONET,225.5,225.5,225.0,225.4,146375.0
2023-05-09 13:45:00,NSE:PETRONET,225.4,225.75,224.95,225.55,182879.0
2023-05-09 14:15:00,NSE:PETRONET,225.6,225.9,225.45,225.8,168669.0
2023-05-09 14:45:00,NSE:PETRONET,225.7,226.75,225.0,226.5,288837.0
2023-05-09 15:15:00,NSE:PETRONET,226.5,226.6,225.7,225.7,221726.0
2023-05-10 09:15:00,NSE:PETRONET,226.0,229.85,226.0,228.15,665793.0
2023-05-10 09:45:00,NSE:PETRONET,228.15,229.7,227.4,227.8,337776.0
2023-05-10 10:15:00,NSE:PETRONET,227.8,229.7,227.8,229.05,219160.0
2023-05-10 10:45:00,NSE:PETRONET,229.05,230.15,228.45,229.65,169078.0
2023-05-10 11:15:00,NSE:PETRONET,229.6,230.0,228.75,229.45,115973.0
2023-05-10 11:45:00,NSE:PETRONET,229.45,229.6,228.0,228.25,160474.0
2023-05-10 12:15:00,NSE:PETRONET,228.35,229.25,228.2,228.75,98255.0
2023-05-10 12:45:00,NSE:PETRONET,228.85,229.0,228.5,228.8,79723.0
2023-05-10 13:15:00,NSE:PETRONET,228.85,229.0,228.6,228.85,85305.0
2023-05-10 13:45:00,NSE:PETRONET,228.85,229.15,227.65,227.75,91752.0
2023-05-10 14:15:00,NSE:PETRONET,227.75,228.0,227.2,227.95,100416.0
2023-05-10 14:45:00,NSE:PETRONET,227.9,228.5,227.6,228.4,208253.0
2023-05-10 15:15:00,NSE:PETRONET,228.35,228.65,227.9,228.5,241230.0
2023-05-11 09:15:00,NSE:PETRONET,228.6,230.85,228.6,230.7,393084.0
2023-05-11 09:45:00,NSE:PETRONET,230.65,230.95,230.2,230.6,147912.0
2023-05-11 10:15:00,NSE:PETRONET,230.65,231.4,230.05,230.95,261808.0
2023-05-11 10:45:00,NSE:PETRONET,231.0,231.4,230.95,231.35,75025.0
2023-05-11 11:15:00,NSE:PETRONET,231.4,231.55,230.5,230.9,144540.0
2023-05-11 11:45:00,NSE:PETRONET,231.0,231.95,230.9,231.85,153488.0
2023-05-11 12:15:00,NSE:PETRONET,231.85,232.4,231.6,232.1,129764.0
2023-05-11 12:45:00,NSE:PETRONET,232.1,232.8,232.05,232.5,127016.0
2023-05-11 13:15:00,NSE:PETRONET,232.55,232.65,231.45,231.8,97302.0
2023-05-11 13:45:00,NSE:PETRONET,231.7,232.6,231.7,232.35,77641.0
2023-05-11 14:15:00,NSE:PETRONET,232.15,232.75,232.05,232.45,77353.0
2023-05-11 14:45:00,NSE:PETRONET,232.45,233.0,232.4,232.6,153867.0
2023-05-11 15:15:00,NSE:PETRONET,232.65,232.8,232.25,232.8,134811.0
2023-05-12 09:15:00,NSE:PETRONET,231.25,232.8,227.65,228.35,336897.0
2023-05-12 09:45:00,NSE:PETRONET,228.35,230.4,228.3,229.85,100101.0
2023-05-12 10:15:00,NSE:PETRONET,229.85,230.2,229.4,230.0,61176.0
2023-05-12 10:45:00,NSE:PETRONET,230.1,230.9,229.8,230.0,74793.0
2023-05-12 11:15:00,NSE:PETRONET,230.0,230.1,228.8,229.8,83439.0
2023-05-12 11:45:00,NSE:PETRONET,229.55,229.95,229.0,229.5,107635.0
2023-05-12 12:15:00,NSE:PETRONET,229.5,229.85,229.1,229.15,71393.0
2023-05-12 12:45:00,NSE:PETRONET,229.15,229.7,229.05,229.35,86715.0
2023-05-12 13:15:00,NSE:PETRONET,229.35,229.6,228.55,228.95,92151.0
2023-05-12 13:45:00,NSE:PETRONET,229.0,229.3,227.45,228.1,169738.0
2023-05-12 14:15:00,NSE:PETRONET,228.1,229.5,228.1,229.05,136234.0
2023-05-12 14:45:00,NSE:PETRONET,229.05,229.8,228.85,229.35,276382.0
2023-05-12 15:15:00,NSE:PETRONET,229.35,229.7,228.5,228.5,239169.0
2023-05-15 09:15:00,NSE:PETRONET,228.55,230.35,227.95,229.3,133786.0
2023-05-15 09:45:00,NSE:PETRONET,229.25,230.35,229.25,230.1,51552.0
2023-05-15 10:15:00,NSE:PETRONET,230.1,230.4,229.8,230.05,22525.0
2023-05-15 10:45:00,NSE:PETRONET,230.05,230.1,229.5,229.9,19889.0
2023-05-15 11:15:00,NSE:PETRONET,229.85,229.95,229.6,229.7,11321.0
2023-05-15 11:45:00,NSE:PETRONET,229.7,230.0,229.25,229.3,32334.0
2023-05-15 12:15:00,NSE:PETRONET,229.4,229.5,228.0,228.3,50102.0
2023-05-15 12:45:00,NSE:PETRONET,228.4,228.4,227.7,228.3,38731.0
2023-05-15 13:15:00,NSE:PETRONET,228.3,228.85,228.2,228.6,35275.0
2023-05-15 13:45:00,NSE:PETRONET,228.75,229.65,228.6,229.5,44595.0
2023-05-15 14:15:00,NSE:PETRONET,229.5,229.5,228.7,228.95,24192.0
2023-05-15 14:45:00,NSE:PETRONET,229.05,229.75,228.85,229.4,109965.0
2023-05-15 15:15:00,NSE:PETRONET,229.4,229.95,229.3,229.3,88147.0
2023-05-16 09:15:00,NSE:PETRONET,230.1,232.3,230.0,231.95,259183.0
2023-05-16 09:45:00,NSE:PETRONET,231.95,232.05,230.75,231.6,113790.0
2023-05-16 10:15:00,NSE:PETRONET,231.55,231.8,231.15,231.35,68670.0
2023-05-16 10:45:00,NSE:PETRONET,231.4,231.9,230.9,231.0,44529.0
2023-05-16 11:15:00,NSE:PETRONET,231.0,231.2,229.95,230.2,60837.0
2023-05-16 11:45:00,NSE:PETRONET,230.2,231.25,230.0,231.0,86021.0
2023-05-16 12:15:00,NSE:PETRONET,230.85,231.7,230.85,231.2,65852.0
2023-05-16 12:45:00,NSE:PETRONET,231.2,231.4,231.0,231.2,30415.0
2023-05-16 13:15:00,NSE:PETRONET,231.2,231.25,230.65,231.1,41409.0
2023-05-16 13:45:00,NSE:PETRONET,231.1,231.4,230.0,230.15,121249.0
2023-05-16 14:15:00,NSE:PETRONET,230.2,230.3,229.75,230.05,55085.0
2023-05-16 14:45:00,NSE:PETRONET,230.05,230.3,229.3,229.7,77877.0
2023-05-16 15:15:00,NSE:PETRONET,229.55,229.75,228.25,228.9,121418.0
2023-05-17 09:15:00,NSE:PETRONET,229.7,231.1,228.1,228.55,232428.0
2023-05-17 09:45:00,NSE:PETRONET,228.5,229.9,228.5,229.75,68251.0
2023-05-17 10:15:00,NSE:PETRONET,229.85,229.85,228.9,229.25,44067.0
2023-05-17 10:45:00,NSE:PETRONET,229.45,229.6,228.7,228.7,33580.0
2023-05-17 11:15:00,NSE:PETRONET,228.85,229.2,228.5,228.55,29955.0
2023-05-17 11:45:00,NSE:PETRONET,228.55,229.25,228.5,229.15,33002.0
2023-05-17 12:15:00,NSE:PETRONET,229.25,229.85,228.9,229.85,46184.0
2023-05-17 12:45:00,NSE:PETRONET,229.9,230.55,229.7,229.8,51465.0
2023-05-17 13:15:00,NSE:PETRONET,229.8,230.1,229.1,229.1,44345.0
2023-05-17 13:45:00,NSE:PETRONET,229.1,229.55,228.95,229.25,35626.0
2023-05-17 14:15:00,NSE:PETRONET,229.15,229.55,228.95,229.4,31090.0
2023-05-17 14:45:00,NSE:PETRONET,229.4,230.1,229.4,229.65,109080.0
2023-05-17 15:15:00,NSE:PETRONET,229.65,229.9,229.35,229.45,113990.0
2023-05-18 09:15:00,NSE:PETRONET,229.65,232.25,229.15,231.7,290829.0
2023-05-18 09:45:00,NSE:PETRONET,231.8,232.1,230.5,230.7,101661.0
2023-05-18 10:15:00,NSE:PETRONET,230.7,230.8,229.8,230.25,89710.0
2023-05-18 10:45:00,NSE:PETRONET,230.35,230.95,229.85,230.05,78069.0
2023-05-18 11:15:00,NSE:PETRONET,230.15,230.15,229.25,229.25,65229.0
2023-05-18 11:45:00,NSE:PETRONET,229.25,229.7,229.05,229.35,77467.0
2023-05-18 12:15:00,NSE:PETRONET,229.4,229.6,228.8,229.1,80106.0
2023-05-18 12:45:00,NSE:PETRONET,229.1,229.25,228.45,228.55,82795.0
2023-05-18 13:15:00,NSE:PETRONET,228.55,228.7,228.1,228.25,49480.0
2023-05-18 13:45:00,NSE:PETRONET,228.3,228.45,227.6,228.05,96531.0
2023-05-18 14:15:00,NSE:PETRONET,228.0,228.4,227.5,228.15,92169.0
2023-05-18 14:45:00,NSE:PETRONET,228.0,228.2,227.05,227.3,177048.0
2023-05-18 15:15:00,NSE:PETRONET,227.45,227.5,225.9,225.95,192530.0
2023-05-19 09:15:00,NSE:PETRONET,226.5,227.4,224.2,225.1,223813.0
2023-05-19 09:45:00,NSE:PETRONET,225.1,225.45,224.35,225.0,123655.0
2023-05-19 10:15:00,NSE:PETRONET,225.05,225.15,224.65,225.0,102641.0
2023-05-19 10:45:00,NSE:PETRONET,225.1,225.25,224.7,225.2,59760.0
2023-05-19 11:15:00,NSE:PETRONET,225.2,225.85,225.1,225.6,53561.0
2023-05-19 11:45:00,NSE:PETRONET,225.7,225.8,225.0,225.0,40154.0
2023-05-19 12:15:00,NSE:PETRONET,225.05,225.4,224.3,224.95,105839.0
2023-05-19 12:45:00,NSE:PETRONET,224.8,225.25,224.75,225.2,43836.0
2023-05-19 13:15:00,NSE:PETRONET,225.2,225.35,224.8,225.05,50252.0
2023-05-19 13:45:00,NSE:PETRONET,225.05,225.2,224.55,225.2,78471.0
2023-05-19 14:15:00,NSE:PETRONET,225.1,225.9,224.65,224.75,171689.0
2023-05-19 14:45:00,NSE:PETRONET,224.8,225.1,224.2,224.5,146596.0
